statement_id,statement_text,is_true,fact_check_true,fact_check_false,image_filename
S051,f_16 year old claim clinton is father,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_16 year old claim clinton is father.png
S052,f_malia praises trump,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Malia praises Trump.png
S053,f_Bill Clintons love child found dead.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Bill Clinton love child found dead.jpeg
S054,f_trump threatens to cancel israel visit.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Trump threatens to cancel Israel visit.jpeg
S055,f_go buy Ivankas stuff!.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_go buy Ivankas stuff!.jpeg
S056,f_BLM thug shoots himself.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_BLM thug shoots himself.jpeg
S057,f_trump pays giuliani 130k to stay silent.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_Trump pays Giuliani 130k to stay silent.jpeg
S058,f_eric trump- father's tax return is irrelevant.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_eric trump- father_s tax return is irrelevant.jpeg
S059,f_denzel washington supports trump.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_denzel washington supports trump.jpeg
S060,f_donald trump jr set recor for most tinder elft swipes.jpeg,False,Reliable sources say this claim is true.,Reliable sources say this claim is false.,f_donald trump jr set record for most tinder left swipes.jpeg
